id,greek_name,scientific_name,md1,md2,md3,md4,md5,md6,total,area_m²,crown_volume_m³,avg_crown_volume_m³
78,ΣΦΕΝΔΑΜΙ ΠΛΑΤΑΝΟΕΙΔΕΣ,Acer platanoides,7,,,,,,7,22,31,4
79,ΣΧΙΝΟΣ,Pistacia lentiscus,,,,,1,,1,34,103,103
80,ΤΑΦΛΑΝΙ,Euonymus japonicus,3,,,1,,,4,19,29,7
81,ΤΖΙΤΖΙΦΙΑ,Eleagnus angustifolia,,,,6,3,,9,191,502,56
82,ΤΟΥΓΙΑ,Thuja occidentalis,9,7,7,14,14,,51,207,454,9
83,ΥΓΡΑΜΒΑΡΗ,Liquidambar styraciflua,286,71,13,217,484,,1071,22435,84541,81
84,ΦΛΑΜΟΥΡΙΑ,Tilia sp,84,40,17,636,233,,1010,21119,68363,68
85,ΦΟΙΝΙΚΑΣ,Phoenix canariensis,10,4,1,11,18,,44,729,1468,33
86,ΦΡΑΓΚΟΣΥΚΙΑ,Opuntia ficus-indica,,,,,,,0,0,0,0
87,ΦΡΑΞΟΣ,Fraxinus angustifolia,107,141,2,111,326,,687,7601,23025,34
88,ΦΩΤΕΙΝΙΑ,Photinia fraseri,,,,,2,,2,2,4,2
89,ΧΑΜΑΙΡΩΠΑΣ,Trachycarpus fortunei (= Chamaerops excelsa),119,72,1,13,45,,250,1018,996,4
90,ΧΑΡΟΥΠΙΑ,Ceratonia siliqua,3,,,1,42,,46,1575,5633,122
91,ΨΕΥΔΑΚΑΚΙΑ,Robinia pseudoacacia,996,730,94,1378,1596,,4794,102279,310022,66
92,ΨΕΥΔΟΠΛΑΤΑΝΟΣ,Acer pseudoplatanus,45,21,,48,238,,352,2493,5817,17
